publication_date,effective_on,department,agency_fr,independent_reg_agency,title_fr,abstract,action,citation,document_number,docket_number,significant,econ_significant,3(f)(1) significant,Major,html_url,Notes,in_fr_df,url,title_gao,agency_gao,subagency,type,description,priority,effective,received,control_number,fed_reg_number,major_rule_report,in_gao_df,regulation_id_number
2021-01-21,2021-02-22,Health and Human Services Department,Public Health Service,0,National Vaccine Injury Compensation Program: Revisions to the Vaccine Injury Table,"The Secretary finalizes the proposed rule to amend the Vaccine Injury Table (Table) by regulation. This final rule will have effect only for petitions for compensation under the National Vaccine Injury Compensation Program (VICP) filed after this final rule become effective. This final rule does not impact COVID-19 vaccines or PREP Act immunity for Covered Persons (as defined in the PREP Act) who manufacture, distribute, order, or administer COVID-19 vaccines.",Final rule.,86 FR 6249,2021-01211,HHS-OS-2022-0008,,,,,https://www.federalregister.gov/documents/2021/01/21/2021-01211/national-vaccine-injury-compensation-program-revisions-to-the-vaccine-injury-table,,1,,,,,,,,,,,,,0,['0906-AB24']
2021-01-21,2021-02-22,Homeland Security Department,Coast Guard,0,"Safety Zone; Tanapag Harbor, Saipan, CNMI","The Coast Guard is establishing a annually recurring safety zone for navigable waters within Tanapag Harbor, Saipan. This safety zone will encompass the designated swim course for the Escape from Managaha swim event in the waters of Tanapag Harbor, Saipan, Commonwealth of the Northern Mariana Islands. This action is necessary to protect all persons and vessels participating in this marine event from potential safety hazards associated with vessel traffic in the area. Race participants, chase boats, and organizers of the event will be exempt from the safety zone. Entry of persons or vessels into the safety zone is prohibited unless authorized by the Captain of the Port (COTP) Guam.",Final rule.,86 FR 6247,2021-01084,USCG-2020-0459,,,,,https://www.federalregister.gov/documents/2021/01/21/2021-01084/safety-zone-tanapag-harbor-saipan-cnmi,,1,,,,,,,,,,,,,0,['1625-AA00']
2021-01-22,2021-01-22,Homeland Security Department,Coast Guard,0,"Safety Zone; Lower Mississippi River, Mile Marker 368 and 370, Natchez, MS","The Coast Guard is establishing a temporary safety zone for all navigable waters of the Lower Mississippi River (LMR), between Mile Marker 368 and 370. The safety zone is needed to protect persons, property, and the marine environment from the potential safety hazards associated with line pulling operations in the vicinity of the Natchez, MS. Entry of persons or vessels into this zone is prohibited unless authorized by the Captain of the Port Sector Lower Mississippi River or a designated representative.",Temporary final rule.,86 FR 6566,2021-01329,USCG-2021-0020,,,,,https://www.federalregister.gov/documents/2021/01/22/2021-01329/safety-zone-lower-mississippi-river-mile-marker-368-and-370-natchez-ms,,1,,,,,,,,,,,,,0,['1625-AA00']
2021-01-22,2021-04-01,Federal Deposit Insurance Corporation,,1,Unsafe and Unsound Banking Practices: Brokered Deposits and Interest Rate Restrictions,"The FDIC is finalizing revisions to its regulations relating to the brokered deposits and interest rate restrictions that apply to less than well capitalized insured depository institutions. For brokered deposits, the final rule establishes a new framework for analyzing certain provisions of the ""deposit broker"" definition, including ""facilitating"" and ""primary purpose."" For the interest rate restrictions, the FDIC is amending its methodology for calculating the national rate, the national rate cap, and the local market rate cap. Further, the FDIC is explaining when nonmaturity deposits are accepted and when nonmaturity deposits are solicited for purposes of applying the brokered deposits and interest rate restrictions.",Final rule.,86 FR 6742,2020-28196,,,,,,https://www.federalregister.gov/documents/2021/01/22/2020-28196/unsafe-and-unsound-banking-practices-brokered-deposits-and-interest-rate-restrictions,,1,,,,,,,,,,,,,0,['3064-AE94']
2021-01-25,2021-02-24,Commodity Futures Trading Commission,,1,Margin Requirements for Uncleared Swaps for Swap Dealers and Major Swap Participants,"The Commodity Futures Trading Commission (""Commission"" or ""CFTC"") is amending the margin requirements for uncleared swaps (""Final Rule"") for swap dealers (""SD"") and major swap participants (""MSP"") for which there is not a prudential regulator (""CFTC Margin Rule""). The Final Rule amends the CFTC Margin Rule to permit the application of a minimum transfer amount (""MTA"") of up to $50,000 for each separately managed account (""SMA"") of a legal entity that is a counterparty to an SD or MSP in an uncleared swap transaction and to permit the application of separate MTAs for initial margin (""IM"") and variation margin (""VM"").",Final rule.,86 FR 6850,2020-27508,,,,,,https://www.federalregister.gov/documents/2021/01/25/2020-27508/margin-requirements-for-uncleared-swaps-for-swap-dealers-and-major-swap-participants,,1,,,,,,,,,,,,,0,['3038-AF06']
2021-01-25,2021-03-22,Justice Department; Homeland Security Department,Executive Office for Immigration Review,0,Security Bars and Processing; Delay of Effective Date,"On December 23, 2020, DHS and DOJ (collectively, ""the Departments"") published a final rule to clarify that the danger to the security of the United States statutory bar to eligibility for asylum and withholding of removal encompass certain emergency public health concerns and make certain other changes. The Departments are delaying the rule's effective date for 60 days.",Final rule; delay of effective date.,86 FR 6847,2021-01683,USCIS-2020-0013,,,,,https://www.federalregister.gov/documents/2021/01/25/2021-01683/security-bars-and-processing-delay-of-effective-date,,1,,,,,,,,,,,,,0,['1615-AC57']
2021-01-27,2021-01-25,Commerce Department,International Trade Administration,0,Aluminum Import Monitoring and Analysis System: Delay of Effective Date,"The U.S. Department of Commerce (Commerce) is delaying the effective date of the final rule, entitled ""Aluminum Import Monitoring and Analysis System,"" from January 25, 2021 until March 29, 2021. Commerce is also soliciting comments on the final rule.",Final rule; delay of effective date; request for comments.,86 FR 7237,2021-01804,ITA-2021-0001,,,,,https://www.federalregister.gov/documents/2021/01/27/2021-01804/aluminum-import-monitoring-and-analysis-system-delay-of-effective-date,,1,,,,,,,,,,,,,0,['0625-AB18']
2021-01-27,2021-01-27,Farm Credit Administration,,0,Rules of Practice and Procedure; Adjusting Civil Money Penalties for Inflation,"This regulation implements inflation adjustments to civil money penalties (CMPs) that the Farm Credit Administration (FCA) may impose or enforce pursuant to the Farm Credit Act of 1971, as amended (Farm Credit Act), and pursuant to the Flood Disaster Protection Act of 1973, as amended by the National Flood Insurance Reform Act of 1994, and further amended by the Biggert-Waters Flood Insurance Reform Act of 2012 (Biggert-Waters Act) (collectively FDPA, as amended).",Final rule.,86 FR 7235,2021-01796,,,,,,https://www.federalregister.gov/documents/2021/01/27/2021-01796/rules-of-practice-and-procedure-adjusting-civil-money-penalties-for-inflation,,1,,,,,,,,,,,,,0,['3052-AD45']
2021-01-27,2021-01-27,Labor Department,,0,Rescission of Department of Labor Rule on Guidance,"On August 28, 2020, the Department of Labor published a final rule on guidance implementing an Executive order entitled ""Promoting the Rule of Law Through Improved Agency Guidance Documents,"" and providing policy and requirements for issuing, modifying, withdrawing, and using guidance; making guidance available to the public; a notice and comment process for significant guidance; and taking and responding to petitions about guidance. In accordance with the ""Executive Order on Revocation of Certain Executive Orders Concerning Federal Regulation,"" issued by President Biden on January 20, 2021, this final rule rescinds the Department's rule on guidance.",Final rule; rescission of regulations.,86 FR 7237,2021-01746,,,,,,https://www.federalregister.gov/documents/2021/01/27/2021-01746/rescission-of-department-of-labor-rule-on-guidance,,1,,,,,,,,,,,,,0,['1290-AA41']
2021-01-28,2020-12-28,Veterans Affairs Department,,0,Prosthetic and Rehabilitative Items and Services; Delayed Effective Date,"In accordance with the Presidential directive as expressed in the memorandum of January 20, 2021, from the Assistant to the President and Chief of Staff, entitled ""Regulatory Freeze Pending Review"" and the OMB guidance M-21-14, ""Implementation of Memorandum Concerning Regulatory Freeze Pending Review"", both issued on January 20, 2021, this action temporarily delays until February 26, 2021 the effective date of the rule entitled Prosthetic and Rehabilitative Items and Services, published in the Federal Register on December 28, 2020, to allow Department of Veterans Affairs (VA) officials the opportunity for further review and consider the new regulations.",Final rule; delay of effective date.,86 FR 7349,2021-01904,VA-2017-VHA-0023,,,,,https://www.federalregister.gov/documents/2021/01/28/2021-01904/prosthetic-and-rehabilitative-items-and-services-delayed-effective-date,,1,,,,,,,,,,,,,0,['2900-AP46']
